V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	random	MID	Condition	Q32	Q1	Q26	Q28	Q19	Q2	Q3	Q4_1	Q4_2	Q4_3	Q4_4	Q4_5	Q4_6	Q12	Q14	Q13_1_TEXT	Q13_2_TEXT	Q13_3_TEXT	Q13_4_TEXT	Q13_5_TEXT	Q15	Q16	Q20_1	Q20_2	Q20_3	Q20_4	Q20_5	Q20_6	Q20_7	Q20_8	Q20_9	Q20_10	Q21_1	Q21_2	Q21_3	Q21_4	Q21_5	Q21_6	Q21_7	Q21_8	Q21_9	Q21_10	Q23	Q25	Q27_1	Q27_2	Q27_3	Q27_4	Q27_5	Q27_6	Q27_6_TEXT	Q29	Q6	Q7	Q8_1_TEXT	Q8_2_TEXT	Q8_3_TEXT	Q8_4_TEXT	Q8_5_TEXT	Q9	Q10	Q11_1	Q11_2	Q11_3	Q11_4	Q11_5	Q11_6	Q11_7	Q11_8	Q11_9	Q11_10	Q18_1	Q18_2	Q18_3	Q18_4	Q18_5	Q18_6	Q18_7	Q18_8	Q18_9	Q18_10	Q29	LocationLatitude	LocationLongitude	LocationAccuracy
ResponseID	ResponseSet	Name	ExternalDataReference	EmailAddress	IPAddress	Status	StartDate	EndDate	Finished	random	MID	Condition	Introduction Thank you for taking part in this study. The purpose of this study is to examine eff...	"Think of a boss, manager, parent, or other important figure of authority in your life. You will b..."	Who is the person you thought of?	"Please describe their relationship to you (e.g. boss, friend, parent, roommate, etc.)"	"Think of a coworker, sibling, teammate, or other important friend in your life. You will be discu..."	Who is the person you thought of?	"Please describe their relationship to you (e.g. boss, friend, parent, roommate, etc.)"	Please answer how much you agree the following statements about your relationship with this perso...-I get along with this person well.	Please answer how much you agree the following statements about your relationship with this perso...-I enjoy being with this person.	Please answer how much you agree the following statements about your relationship with this perso...-I consider myself and this person to be equals in our relationship.	"Please answer how much you agree the following statements about your relationship with this perso...-In our relationship, this person has a significant amount of power over me."	Please answer how much you agree the following statements about your relationship with this perso...-I feel comfortable talking to this person about my personal life.	Please answer how much you agree the following statements about your relationship with this perso...-I agree with this person's views on life.	Recall a good conversation you had with this person. 	"In your own words, why was it a good conversation?"	List 5 things that happened that added positively to the conversation and made it good.-1.	List 5 things that happened that added positively to the conversation and made it good.-2.	List 5 things that happened that added positively to the conversation and made it good.-3.	List 5 things that happened that added positively to the conversation and made it good.-4.	List 5 things that happened that added positively to the conversation and made it good.-5.	"In a few words, how did you feel during the conversation?"	How did you feel after the conversation?	Consider the conversations you have had with this person. Thinking about these conversations in g...-1. The other person let me know that I was communicating efficiently.	Consider the conversations you have had with this person. Thinking about these conversations in g...-2. Nothing would be accomplished as a result of our conversations.	Consider the conversations you have had with this person. Thinking about these conversations in g...-3. I would like to have more conversations like the ones I have with this person.	Consider the conversations you have had with this person. Thinking about these conversations in g...-4. The other person genuinely wanted to know what I had to say.	Consider the conversations you have had with this person. Thinking about these conversations in g...-5. I was very dissatisfied with the conversations.	Consider the conversations you have had with this person. Thinking about these conversations in g...-6. I had something else to do.	Consider the conversations you have had with this person. Thinking about these conversations in g...-7. I felt that during the conversation I was able to present myself as I wanted the other person to view me.	Consider the conversations you have had with this person. Thinking about these conversations in g...-8. The other person showed me that s/he understood what I said.	Consider the conversations you have had with this person. Thinking about these conversations in g...-9. I was very satisfied with the conversations.	Consider the conversations you have had with this person. Thinking about these conversations in g...-10. The other person expressed a lot of interest in what I had to say.	 -11. I did NOT enjoy the conversations.	 -12. The other person did NOT provide support for what s/he was saying.	" -13. If I am paying attention, I will select Agree (6) for this question."	 -14. I felt I could talk about anything with the other person.	 -15. We each got to say what we wanted.	 -16. I felt that we could laugh easily together.	 -17. The conversations flowed smoothly.	 -18. The other person changed the topic when her/his feelings were brought into the conversation.	 -19. The other person frequently said things which added little to the conversation.	 -20. We talked about something I was NOT interested in.	Please enter your age (in years) below:	My gender is:	"Please select all categories that comprise your ethnic background.-<span style=""font-size:13px;""><span style=""font-family:arial,helvetica,sans-serif;"">European/European-American</span></span>"	"Please select all categories that comprise your ethnic background.-<span style=""font-size:13px;""><span style=""font-family:arial,helvetica,sans-serif;"">African-American</span></span>"	"Please select all categories that comprise your ethnic background.-<span style=""font-size:13px;""><span style=""font-family:arial,helvetica,sans-serif;"">Latino</span></span>"	"Please select all categories that comprise your ethnic background.-<span style=""font-size:13px;""><span style=""font-family:arial,helvetica,sans-serif;"">East Asian/Asian-American</span></span>"	"Please select all categories that comprise your ethnic background.-<span style=""font-size:13px;""><span style=""font-family:arial,helvetica,sans-serif;"">Native American</span></span>"	"Please select all categories that comprise your ethnic background.-<span style=""font-size:13px;""><span style=""font-family:arial,helvetica,sans-serif;"">Other (Please specify)</span></span>"	"Please select all categories that comprise your ethnic background.-<span style=""font-size:13px;""><span style=""font-family:arial,helvetica,sans-serif;"">Other (Please specify)</span></span>-TEXT"	What is your year in college?	Recall a bad conversation you had with this person. 	"In your own words, why was it a bad conversation?"	List 5 things that happened that took away from the conversation and made it bad.-1.	List 5 things that happened that took away from the conversation and made it bad.-2.	List 5 things that happened that took away from the conversation and made it bad.-3.	List 5 things that happened that took away from the conversation and made it bad.-4.	List 5 things that happened that took away from the conversation and made it bad.-5.	"In a few words, how did you feel during the conversation?"	How did you feel after the conversation?	Consider the conversations you have had with this person. Thinking about these conversations in g...-1.The other person let me know that I was communicating efficiently.	Consider the conversations you have had with this person. Thinking about these conversations in g...-2. Nothing would be accomplished as a result of our conversations.	Consider the conversations you have had with this person. Thinking about these conversations in g...-3. I would like to have more conversations like the ones I have with this person.	Consider the conversations you have had with this person. Thinking about these conversations in g...-4. The other person genuinely wanted to know what I had to say.	Consider the conversations you have had with this person. Thinking about these conversations in g...-5. I was very dissatisfied with our conversations.	Consider the conversations you have had with this person. Thinking about these conversations in g...-6. I felt like I had something else to do.	Consider the conversations you have had with this person. Thinking about these conversations in g...-7. I felt that during our conversations I was able to present myself as I wanted the other person to view me.	Consider the conversations you have had with this person. Thinking about these conversations in g...-8. The other person showed me that s/he understood what I said.	Consider the conversations you have had with this person. Thinking about these conversations in g...-9. I was very satisfied with the conversations.	Consider the conversations you have had with this person. Thinking about these conversations in g...-10. The other person expressed a lot of interest in what I had to say.	 -11. I did NOT enjoy the conversations.	 -12. The other person did NOT provide support for what s/he was saying.	" -13. If I am paying attention, I will select Agree (6) for this question."	 -14. I felt I could talk about anything with the other person.	 -15. We each got to say what we wanted.	 -16. I felt that we could laugh easily together.	 -17. The conversations flowed smoothly.	 -18. The other person changed the topic when her/his feelings were brought into the conversation.	 -19. The other person frequently said things which added little to the conversation.	 -20. We talked about something I was NOT interested in.	INSTRUCTIONS TO GET PAID     To complete the survey you need to complete all of the following thr...	LocationLatitude	LocationLongitude	LocationAccuracy
R_uqAuBz1hv4XGkZr	Default Response Set	Anonymous				1	11/22/2015 21:35	11/22/2015 21:37	1	76480411		3	1	1	pilot	pilot				6	6	6	6	6	6																														3	1	1			1				3	1	Pilot	pilot	pilot	pilot	pilot	pilot	pilot	pilot	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	1	33.94729614	-117.7288971	-1
R_2zUsl3YN15KstwB	Default Response Set	Anonymous			71.94.240.60	0	11/22/2015 21:39	11/22/2015 21:41	1	40039935		1	1	1	Brian	Friend				7	7	6	7	7	6	1	It was pleasant and was very comforting.	played chess	calm	was about strategies	none	none	very calm and joyful	calm  and tired	6	5	5	7	5	7	6	6	7	5	3	6	4	5	7	7	7	6	6	6																																									42.18510437	-121.6141052	-1
R_2wafYkpXn9bi9ob	Default Response Set	Anonymous			104.174.222.43	0	11/22/2015 21:38	11/22/2015 21:41	1	20841692		1	1	1	Parent	mom				6	6	4	3	6	6	1	I was able to express my views without being judged.	She concurred with my points	She said something that I agreed with	She was patient during the conversation.	She allowed me to finish my thoughts.	She was able to discuss the issue with me calmly.	"Calm, cool, content, happy"	"informed, relaxed"	6	2	6	6	2	2	6	6	6	6	2	2	6	6	6	4	6	2	2	2	9	1				1				7																														1	34.08520508	-117.8878021	-1
R_O11EUfttAK1eXVT	Default Response Set	Anonymous			148.74.250.192	0	11/22/2015 21:39	11/22/2015 21:42	1	39270889		3	1	1	father	parent				7	7	7	2	6	6																														8	1	1							6	1	we did not agree	we disagreed	he yelled	n/a	n/a	n/a	upset	upset	2	3	4	4	4	3	5	5	4	4	4	4	6	6	5	6	6	4	4	3	1	40.96650696	-73.84690094	-1
R_2VjSz0Nx7M6cvA5	Default Response Set	Anonymous			76.201.79.53	0	11/22/2015 21:39	11/22/2015 21:42	1	20150166		4	1				1	heather	my sister 	6	5	5	4	6	6																														9	2	1							7	1	"I commented on how I didn't like her new boyfriend and that he seemed very shady, of course she did not take it well and then started to lash out back at me. "	Her defensivness	Me calling her boyfriend out	The fact that she knew I was right but didn't want to admit it	Her stbborness	Her poor taste in men 	I was at first just kind of pointing things out then got really heated	I felt regretful that I lost mt temper because my message got lost in all teh shouting 	4	4	4	4	6	4	4	4	4	4	5	4	6	5	5	3	4	5	4	4	1	37.62010193	-121.4590988	-1
R_2wM2uEECzDj2e4f	Default Response Set	Anonymous			61.246.57.5	0	11/22/2015 21:38	11/22/2015 21:42	1	98227862		1	1	1	Principal	He is ultimate boss of oyr organisation				5	4	2	6	2	4	1	The conversation was for a donation to be made by the school to poor people. / I was happy that this person has same social views as me and could get along quite well to make the donation camp a success.	Confidence	Support	Help	Socialize	Interaction	I was impressed and felt very happy for the cause.	I was very happy and determined for the success of our camp.	5	4	5	2	1	4	5	5	4	5	1	1	6	4	5	4	5	3	5	1	26	2				1				7																														1	18.53329468	73.86669922	-1
R_1mPB6CINFCOhkaZ	Default Response Set	Anonymous			96.41.74.199	0	11/22/2015 21:38	11/22/2015 21:43	1	52924455		3	1	1	kb	friend				6	6	6	2	6	6																														4	2				1				3	1	There were a lot of negative feelings and words being thrown around. I don't think either of us were happy with the conversation.	tone	loud	mean	topic	insults	angry and frustrated	still frustrated	2	6	1	2	1	5	2	4	1	3	6	6	6	4	5	4	2	2	5	5	1	33.75419617	-118.2019043	-1
R_2rH3EEw7kbmkfBc	Default Response Set	Anonymous			96.241.74.237	0	11/22/2015 21:38	11/22/2015 21:43	1	39367375		1	1	1	Boots	Friend				7	7	7	1	7	7	1	"I can talk with Boots about just about anything. Conversations with him are always meaningful and in depth, even when it's just casual chit chat.  /  / We talked the other day about artistic interests; film, music, art, etc. Learning new things from each other is what makes these convos so good, I think."	Feed back	Suggestion 	Advice	Mutual interest	Humor 	I felt like I was being listened to.	I felt great.	6	1	6	6	1	1	6	6	6	6	1	1	6	6	6	6	6	4	1	1	8	1	1							1																														1	38.74380493	-77.23329926	-1
R_3PiZ4cxFxAyPOj4	Default Response Set	Anonymous			1.39.32.125	0	11/22/2015 21:39	11/22/2015 21:43	1	23616368		2	1				1	Nivi	Friend	6	6	6	5	6	6	1	It was good because I convey everything to her and she convey everything what she want to say	Positive	Nice	Equal	Conversion	Great	Nice	Nice	6	4	5	5	2	2	6	6	6	6	2	2	6	6	6	4	5	6	5	5	17	1				1				7																														1	28.46670532	77.03329468	-1
